"","actual","add","also","balanc","bartend","batch","beauti","best","bitter","bottl","bourbon","call","cherri","citrus","classic","cocktail","color","cours","dinner","drink","easi","featur","first","flavor","garnish","gin","girl","glass","got","great","guy","happi","here","hour","ice","ingredi","instead","juic","keep","know","late","lemon","let","liqueur","liquor","littl","lot","made","make","mani","mapl","margarita","mean","mix","name","natur","night","note","nuanc","option","origin","ounc","part","parti","perfect","place","popular","recip","right","serv","shake","shaker","similar","simpl","sip","sour","step","strain","summer","sweet","sweeten","syrup","tablespoon","tangi","tart","tast","tequila","that","time","top","tri","type","use","version","vodka","way","well","whiskey","white","without","work","youll","your","youv","alcohol","anoth","associ","back","better","bubbl","chill","clear","cold","definit","dont","fill","gentl","good","hand","herb","iba","intern","invent","less","light","list","look","love","much","new","offici","orang","refresh","see","soda","spin","squeez","there","water","wedg","alex","around","bar","come","differ","favorit","find","fruit","give","need","old","pour","prefer","say","togeth","two","variat","want","what","doesnt","now","sugar","tradit","buy","festiv","fun","lime","rum","weve","take"
"Amaretto Sour.txt",1,7,2,4,1,1,1,3,5,1,9,2,3,2,5,5,1,1,1,4,1,1,2,7,3,2,1,3,1,1,1,1,2,2,7,4,1,4,1,1,1,5,2,4,2,2,1,3,3,2,3,2,1,5,1,1,2,2,1,1,1,6,1,1,3,1,3,4,2,1,8,4,2,3,1,41,2,3,1,9,2,7,3,1,2,2,2,1,2,3,1,1,1,1,2,2,2,7,9,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aperol Spritz.txt",1,0,0,2,1,0,0,2,5,1,0,0,0,3,4,1,1,0,1,4,1,0,0,3,2,1,0,2,0,2,0,0,1,0,6,3,1,0,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,3,0,0,0,2,0,1,1,3,0,0,1,0,2,0,1,3,0,0,0,0,1,0,0,0,1,3,0,0,3,1,0,1,0,0,1,2,2,0,3,0,0,2,0,0,0,0,0,1,1,0,2,1,1,2,1,7,4,2,1,1,1,1,1,1,1,2,1,1,2,1,5,1,1,1,2,1,2,6,1,1,4,2,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boulevardier.txt",1,2,2,2,1,0,0,0,4,3,14,1,0,0,7,10,3,2,1,3,3,0,0,7,1,3,1,22,2,2,1,1,3,2,8,2,2,0,0,1,1,0,0,1,2,1,0,2,4,1,0,0,2,9,2,0,2,1,0,1,0,3,0,1,2,2,1,3,1,11,1,5,0,0,2,1,2,4,0,10,0,0,3,0,0,4,0,1,0,0,5,2,6,1,0,2,1,10,2,1,0,0,1,1,0,0,1,3,1,0,1,2,0,3,2,2,1,2,3,1,2,1,2,2,0,1,3,3,1,2,3,3,0,0,0,0,1,1,0,0,3,1,1,1,1,2,1,1,1,1,7,1,5,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Classic Old Fashioned.txt",0,10,1,1,2,2,1,2,10,0,3,2,7,0,5,5,0,0,1,4,0,0,4,4,6,0,0,5,1,2,1,1,2,3,15,2,3,0,0,0,1,2,2,1,0,0,0,2,3,2,2,0,1,1,2,0,2,1,3,4,1,2,0,1,4,2,1,10,1,1,1,0,0,1,2,1,0,0,0,4,1,2,1,0,0,0,1,2,1,0,3,0,3,1,0,1,0,12,0,0,0,1,2,2,1,0,1,1,2,0,0,10,0,3,1,1,1,1,0,1,2,1,0,0,1,2,1,3,0,1,3,12,0,2,0,1,3,1,5,0,0,2,1,1,0,0,0,1,2,3,31,0,0,0,0,1,2,2,0,1,1,11,1,0,0,0,0,0,0,0
"Cosmopolitan.txt",0,2,1,1,1,0,1,0,0,1,0,0,0,1,5,4,4,0,3,5,2,2,0,2,1,1,1,1,2,3,0,2,1,2,1,1,2,22,2,0,0,3,0,0,0,1,5,0,3,1,4,0,1,0,0,1,1,0,0,0,0,0,0,4,2,1,0,7,0,2,1,1,1,4,1,2,0,1,0,8,5,9,0,2,5,1,0,1,0,0,1,1,8,6,12,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,2,0,0,0,3,0,1,1,1,1,0,2,0,0,0,1,1,1,2,0,0,2,1,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,7,1,1,1,1,5,2,4,0
"Daiquiri.txt",0,3,1,3,1,0,0,2,0,1,0,0,0,1,13,3,1,0,0,4,4,2,1,4,1,2,0,3,1,0,0,0,4,0,3,1,1,4,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,8,0,3,2,2,1,6,0,5,0,2,0,3,2,4,3,0,2,0,0,1,0,0,2,2,1,0,0,1,0,0,4,0,0,0,0,0,2,0,1,2,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,16,0,0
"French75.txt",0,2,1,0,1,1,0,0,1,0,0,2,0,0,11,9,0,0,4,4,1,0,0,0,5,14,1,4,3,3,0,0,2,0,5,2,0,7,0,0,0,14,0,2,0,0,0,3,3,1,0,0,0,1,1,0,1,1,0,3,0,9,0,5,2,1,2,1,1,10,6,6,0,6,0,0,0,2,0,0,0,7,2,2,0,1,0,1,4,2,1,1,2,0,1,2,0,0,0,1,0,0,0,0,2,1,1,0,1,3,0,0,1,0,2,0,0,0,2,0,1,1,1,0,0,1,0,1,1,2,1,0,1,0,0,0,0,1,1,0,0,2,2,0,1,0,0,1,0,0,1,1,1,1,2,0,3,2,1,0,0,0,0,0,2,1,0,0,1,0
"GinandTonic.txt",0,7,0,0,1,0,0,3,0,0,0,2,0,0,2,1,0,0,1,1,0,0,0,3,5,24,1,6,0,0,1,1,2,2,2,2,0,5,2,0,1,2,0,0,1,0,2,3,3,0,0,0,0,2,0,1,2,1,0,0,0,0,2,1,1,0,3,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,3,0,3,2,0,3,0,0,0,0,3,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,5,1,0,2,0,1,0,0,2,1,1,0,0,2,0,0,0,2,2,0,2,1,1,0,3,0,0,2,2,3,1,2
"GinFizz.txt",2,6,2,1,1,0,0,4,0,1,0,2,0,1,7,7,0,1,0,2,0,0,3,1,0,42,0,4,0,0,0,0,2,0,10,4,2,1,1,2,0,5,3,0,1,0,1,1,1,1,3,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,5,1,0,8,8,1,3,2,4,0,1,0,3,3,6,2,3,1,3,0,4,0,8,3,2,3,0,0,1,2,0,14,3,3,7,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,4,0,2,0,0,2,2,7,1,0,1,6,0,0,1,0,0,0,1,3,0,1,3,0,4,0,1,2,2,2,1,4,1,1,0,0,3,0,1,0,0,0,1
"Mai Tai.txt",1,2,6,0,1,0,0,3,0,3,0,1,3,4,5,5,1,1,1,2,2,1,0,8,6,0,0,3,2,2,0,1,5,2,2,6,0,8,0,0,0,0,0,7,0,2,0,0,3,2,0,1,2,1,1,0,0,3,3,0,3,5,1,3,0,2,1,3,0,1,4,3,0,1,0,1,1,3,1,3,1,15,5,0,0,2,0,5,1,4,1,4,4,4,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,2,7,0,0,0,0,0,2,0,2,1,0,2,0,0,0,2,2,1,1,0,1,1,1,0,2,0,0,1,1,1,0,3,0,1,1,7,32,0,2
"Manhattan.txt",0,3,0,1,1,1,0,1,11,1,10,2,8,0,8,10,0,0,1,3,3,0,0,5,5,0,1,9,1,0,1,1,0,2,2,9,0,0,0,1,1,0,1,0,1,0,0,2,2,4,0,0,2,7,2,0,2,2,1,2,0,2,2,1,1,0,3,4,1,4,2,1,0,0,2,2,0,2,0,7,0,0,0,0,0,4,0,1,1,0,1,3,4,0,0,2,1,10,3,2,0,0,0,2,0,0,1,1,0,0,0,0,0,1,2,1,0,1,1,1,1,1,1,0,0,1,3,2,2,1,2,1,0,1,0,1,0,2,0,0,0,0,0,1,0,1,2,0,0,0,2,0,1,0,1,2,3,2,0,0,0,0,1,0,0,0,0,0,0,1
"Margarita.txt",1,3,0,2,2,1,1,9,1,1,0,0,0,0,8,2,0,1,0,1,1,1,0,4,0,0,0,13,0,0,0,0,4,2,10,2,0,2,0,2,0,1,1,2,0,1,1,0,3,2,0,20,3,1,1,0,1,0,0,0,0,3,0,0,4,0,1,5,1,2,3,2,0,6,0,2,1,2,0,3,0,1,0,1,1,0,9,3,0,2,2,2,2,0,0,1,1,0,0,1,1,3,1,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,0,1,1,1,1,0,1,2,1,0,1,2,4,0,1,0,0,0,2,0,1,0,1,1,0,0,0,2,0,0,1,1,0,1,1,1,0,0,2,3,0,2,1,0,1,1,1,4,0,0,4
"Mojito.txt",0,4,0,1,2,0,0,2,0,0,0,0,0,0,4,6,0,3,1,3,1,0,0,2,0,1,1,1,0,2,0,1,6,1,10,0,0,4,1,1,0,0,0,0,0,0,1,0,1,2,3,1,1,2,0,2,1,0,2,1,2,0,3,3,4,2,1,9,5,3,1,2,1,7,2,1,0,0,2,6,5,7,0,0,1,2,1,2,2,1,2,0,3,1,2,4,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,3,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,4,0,3,4,0,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,1,2,1,1,1,1,2,0,1,1,2,3,5,1,0
"MoscowMule.txt",0,2,2,0,1,0,0,4,0,2,1,2,0,1,7,4,0,0,1,3,1,0,0,5,2,2,1,4,3,5,1,1,4,2,2,1,1,4,2,0,1,0,1,0,2,0,1,5,2,1,0,1,0,2,0,0,2,0,0,0,0,3,1,2,3,1,0,2,1,6,0,2,1,1,3,0,0,0,1,0,2,0,0,1,0,2,3,3,1,2,0,3,1,0,18,4,2,1,0,1,2,0,0,2,0,1,1,0,0,1,0,0,1,1,4,0,0,1,0,1,1,1,2,0,0,2,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,2,2,2,1,0,2,0,1,0,0,0,0,3,1,2,0,2,0,3,0,0,0,4,1,0,3
"NewYorkSour.txt",1,4,3,1,3,0,1,2,0,0,8,0,0,0,14,8,0,3,1,2,2,1,2,4,0,4,1,3,1,0,1,1,5,2,0,0,1,4,0,1,1,3,0,0,2,1,0,1,3,0,8,1,0,1,2,2,2,0,2,0,0,0,2,1,4,0,1,0,1,2,2,1,0,6,1,39,0,1,1,6,4,12,0,0,1,1,3,2,0,8,2,3,1,0,1,1,0,19,3,0,0,0,0,2,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,11,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,4,1,1,1,3,0,0,1,5,0,1,1,0,2,1,0,0,1,4,1,1,1
"Paloma.txt",0,4,3,1,1,1,1,0,0,0,0,2,0,2,5,1,1,0,0,4,2,1,0,2,1,1,0,11,1,0,0,1,3,2,10,2,1,11,1,0,0,0,0,0,1,1,0,3,6,1,0,2,1,1,1,1,0,0,1,0,1,5,0,0,3,0,1,0,1,1,1,2,1,5,0,1,1,0,1,2,0,4,0,1,2,1,14,2,0,3,6,0,5,2,0,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,7,0,0,3,2,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,3,1,12,2,3,0,7,4,1,3,0,0,0,1,0,0,1,3,0,1,1,0,2,1,0,2,1,1,0,0,1,0,0,0,6,0,0,1
"Pinacolada.txt",1,4,2,0,3,0,0,3,0,2,0,1,1,1,8,3,0,1,0,2,1,0,1,6,2,0,0,0,3,2,0,0,4,0,4,10,0,7,0,2,0,0,0,0,1,0,2,2,0,3,0,0,3,5,2,0,0,2,1,0,1,4,0,0,0,0,3,2,1,4,0,0,1,2,0,0,0,1,0,1,2,1,3,1,0,5,0,1,0,1,2,0,2,4,1,1,1,0,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,2,0,0,0,1,0,2,1,3,1,0,1,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,2,0,3,0,0,0,0,0,0,1,3,4,2,1,0,1,1,3,1,1,4,18,2,0
"TomCollins.txt",0,2,2,0,1,0,1,0,0,0,0,1,3,0,5,6,0,0,1,1,1,0,1,3,2,9,0,5,1,1,0,2,6,3,15,0,0,2,0,1,0,3,0,0,0,0,1,5,3,0,3,0,1,0,4,1,0,1,1,0,1,0,0,2,1,1,1,2,0,2,4,6,0,5,0,2,1,3,1,4,4,7,0,0,0,1,0,1,1,4,0,2,1,0,2,2,0,1,0,1,0,0,1,0,0,0,1,2,0,2,1,6,0,2,2,1,1,0,1,0,1,1,0,0,2,1,3,0,0,0,1,0,2,1,3,0,0,0,4,0,1,0,0,0,2,1,1,0,0,2,1,4,0,0,1,1,0,1,2,2,1,0,0,1,0,0,0,0,2,2
"Whiskey sour.txt",1,1,4,2,1,1,0,1,0,0,6,1,3,0,2,3,0,1,0,2,3,0,1,2,2,0,0,0,1,1,0,0,3,0,3,3,0,4,0,0,0,5,1,0,0,0,3,0,3,0,8,0,1,10,0,2,0,0,1,0,1,1,0,1,2,0,0,14,0,3,2,2,0,5,0,25,0,0,0,3,2,12,3,0,2,2,0,1,0,1,2,0,2,1,0,0,0,24,2,0,0,3,2,0,0,0,1,3,0,0,0,1,1,2,1,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0,2,3,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,1,3,0,1,4,0,0,1,1,1,1,1,0,1,0,0,0
"Whisky Smash.txt",0,7,0,0,1,0,0,0,0,0,3,0,0,0,5,4,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,9,0,2,3,0,1,0,7,1,0,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1,3,0,4,0,6,5,8,0,3,0,2,0,4,0,0,1,4,2,2,0,0,0,4,5,1,2,0,1,0,2,1,1,20,0,2,1,3,0,0,0,0,0,2,0,0,1,0,2,0,1,2,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,1,3,3,1,0,3,3,1,0,0,1,1,1,0,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
